Vertical,Subvertical,Company Name,Website,Description,Location,Monthly Visits,US %
Screen,Collectibles,things from another world,https://www.tfaw.com/contact/,online comic market,USA,"240,000",65.00%
Screen,Collectibles,Books Kinokuniya,https://usa.kinokuniya.com/aboutus,Comic/book store,USA,"175,800",79.00%
Gaming,Physical Tabletop,Eldritch Foundry,https://eldritch-foundry.com/,3D Custom miniatures,Israel,"87,200",44.99%
Gaming,Physical Tabletop,Hero Forge,https://www.heroforge.com/,TCG marketplace,USA,"2,500,000",53.40%
Gaming,Marketplace,CardTrader,https://www.cardtrader.com/,online trading market place (non-sports),Italy,"16,700,000",0.50%
E&L,Tools,StrawPoll,https://strawpoll.com/,Create a poll and schedule meetings,Germany,"3,800,000",34.00%
Screen,Collectibles,trollandtoad,,online card marketplace,USA,"1,300,000",20.00%
Gaming,Gaming Tools,ExitLag,https://www.exitlag.com/,"worldbuilding platform, campaign manager and novel writing software",Brazil,"990,000",6.90%
Gaming,Digital Commerce,IndieGala,https://www.indiegala.com/,Online market place IndieGames,Italy,"857,900",16.00%
Sports,Collectibles,Dave & Adam's Card World,https://www.dacardworld.com/,Collectible card store,USA,"674,000",38.49%
Gaming,eSports,Player's Lounge,https://www.playerslounge.com/,Skil-based video game wagering,USA,"31,200",43.87%
AdTech,DOOH,Place Exchange,placeexchange.com,DOOH Marketing,USA,"9,800",41.00%
Screen,Collectibles,ComicBookRealm,,Cataloguing Collections,USA,"314,600",57.00%
E&L,Marketplace,jomashop,jomashop.com,online second hand luxury shop,USA,"8,600,000",69.00%
Finance,Tools,Wallmine,Wallmine.com,finance tool,USA,"596,000",49.00%
Sports,Publishing,RealGM,https://basketball.realgm.com/ https://football.realgm.com/,Sports Publishing and Stats,USA,"9,000,800",56%
Gaming,Online Games,JetPunk.com,https://www.jetpunk.com/,Online quizes and trivias,USA,"7,100,000",24.00%
Screen,Platform,Ko-Fi,https://ko-fi.com/,Platform for content creators to monetize themselves,UK,"9,500,000",37.00%
Screen,3D Printing,MyMiniFactory,https://www.myminifactory.com/,STL files for 3D printing,UK,"2,500,000",32.00%
Music,Audio Streaming,MixCloud,https://www.mixcloud.com/,"Online music streaming service; radio shows, DJ mixes, pocasts, crowdsourced by its users",UK,"5,000,000",19.00%
Screen,Collectibles,WorthPoint,https://www.worthpoint.com/,Databasetool,USA,"3,900,000",69.00%
Screen,Podcasts,Podbean,https://www.podbean.com/,Podcast hosting software/tool and monetization,USA,"3,600,000",48.00%
Gaming,Digital Tabletop,Tabletop Simulator,https://tabletopsimulator.com/,Simulation gaming,USA,"200,000",25.00%
Screen,Publishing,Nintendolife,https://hookshot.media/about,digital publications company (similar to valnet),UK,"7,000,000",55.00%
Screen,Online Reader,Renta!,ebookrenta.com,online manga rental service,JP,"861,000",55.00%
Screen,Database,anisearch,anisearch.com,online manga search Database,Germany,"827,900",13.00%
Screen,Online Retailer,Toynk,toynk.com,toy store,USA,"520,000",37.00%
Gaming,Digital Tabletop,Roll20,roll20.net,website consisting of a set of tools for playing tabletop role-playing games,USA,"12,400,000",51%
E&L,Marketplace,Payhip,payhip.com,online e0commerce platform allowing you to sell digital products/courses/coaching,UK,"4,100,000",38.00%
Screen,Marketplace,Big Cartel,https://www.bigcartel.com/,Platform for artists to sell,USA,"6,400,000",57.00%
Tools,Database,pickclick,picclick.com,image discovery tool for eBay,Germany,"4,300,000",62.00%
E&L,Marketplace,Rebag,rebag.com,online second hand bag marketplace,USA,"1,200,000",84.00%
Gaming,Digital Tabletop,Owlbear Rodeo,https://www.owlbear.rodeo/,Virtual Tabletop,USA,"1,200,000",33.54%
E&L,Marketplace,Curtsy,Curtsy.com,online second hand female products,USA,"774,000",81.00%
Education,Marketplace,pangobooks,pangobooks.com,online secondhand book marketplace,USA,"700,000",81.00%
Gaming,Game Streaming,Utomik,https://www.utomik.com/,Cloud gaming subs service,Netherlands,"88,000",22.00%
Gaming,Digital Tabletop,TaleSpire,https://talespire.com/,Virtual Tabletop,Norway,"56,000",34.73%
Gaming,Digital Tabletop,Mirrorscape,https://www.mirrorscape.com/,AR tabletop gaming,USA,"2,000",93.00%
Gaming,Wiki,PCGamingWiki,https://www.pcgamingwiki.com/wiki/Home,collaboratively edited free wiki internet encyclopaedia focused on collecting video game behaviour data,UK,"1,800,000",18.00%
Gaming,Online Games,Crazy Games,https://www.crazygames.com/,Flash Games,Belgium,"54,100,000",31%
Gaming,Digital Commerce,GamersGate AB�,https://www.gamersgate.com/,Online video game digital distributor,Sweden/USA,"353,000",12.00%
Education,Educational Gaming,IXl Learning,ixl.com,"Offers learning platforms for students, owns Rosetta Stone, ABCYa, TPT, etc.",USA,"19,100,000",86.00%
Gaming,Digital Tabletop,Wayland Games,https://www.waylandgames.co.uk/,"UK-based online retailer specializing in tabletop gaming, miniatures, board games, and hobby supplies.",UK,"612,000",3.00%
Gaming,Digital Commerce,2Game,https://2game.com/,Online video game digital distributor,UK,"360,000",19.62%
Gaming,Digital Commerce,Gamebillet,https://www.gamebillet.com/,Online video game digital distributor,UK,"307,000",30.28%
Screen,Collectibles,ComicPriceGuide,CPG.Com,online comic price Database,USA,"148,000",65.00%
Gaming,Digital Tabletop,Lone Wolf Development,https://www.wolflair.com/,a software company known for creating tools that assist tabletop role-playing game (RPG) players and game masters in managing and organizing game sessions,US,"54,000",54.00%
Education,Educational Gaming,Blooklet,https://www.blooket.com/,Online games for students and teachers. Similar to Kahoot but it has more games that it offers.,USA,"14,200,000",70.00%
Gaming,Mods,Planet Minecraft,https://www.planetminecraft.com/,Community-driven website for mods and contents related to Minecraft.,Unknown,"11,000,000",23.00%
Education,Educational Gaming,Gimkit,http://www.gimkit.com,Interactive Classroom Gaming,USA,"10,300,000",33.54%
Gaming,Game Streaming,Gamestream,gamestream.com,i-cloud gaming service B2B,EUR,"6,500",31.00%
AdTech,DOOH,Vistar Media,https://www.vistarmedia.com/,DOOH,USA,n.a.,n.a.
AdTech,DOOH,Fuel Media,https://fuelmediatv.com/,VOOH - Gas-station specific,USA,n.a.,n.a.
AdTech,DOOH,Screenfeed,https://www.screenfeed.com/,Content creation for digital screens,USA,n.a.,n.a.
Gaming,Game Streaming,RPG Maker Web,http://www.rpgmakerweb.com,RPG Game designer/platform,USA,"1,000,000",25.00%
Gaming,Marketplace,GameDev Market,https://www.gamedevmarket.net/,Indie game Devellopment assets,UK,"165,000",18.50%
Education,Educational Gaming,Math Playground,www.mathplayground.com,Math games for students. kidSAFE COPPA CERTIFIED.,USA,"2,500,000",68.00%
Tools,EdTech,study.com,study.com,online platform for education,USA,"19,500,000",43.00%
Travel,Marketplace,rentsync.com,rentsync.com,saas business,Canada,"6,000,000",7.00%
Travel,Marketplace,zumper.com,zumper.com,rent aggregator (marketplace),USA,"2,700,000",53.00%
Auto,Publishing,autoevolution.com,autoevolution.com,auto publications,romania,"15,000,000",55.00%
AdTech,Podcasts,buzzsprout.com,buzzsprout.com,Online podcast monetizaton tool,USA,"2,800,000",58.00%
Screen,Collectibles,forbiden planet,https://www.fpnyc.com/,online comic market,USA,"33,500",71.00%
Finance,Publishing,Moneywise,https://moneywise.com/,Finance articles,USA,"16,900,000",87.00%
Finance,Publishing,Entrepreneur media,entrepreneur.com,Finance articles,USA,"3,500,000",50.00%
Marketplace,Art,ArtPrice,https://www.artprice.com/,Art Pricing Database,France,"960,000",11%
Gaming,Digital Commerce,MacGamesStore/WinGamesStore,https://www.wingamestore.com/,Online video game digital distributor,USA,"200,000",16.00%
Screen,Audio Streaming,Tunein,tunein.com,online audio streaming platform,USA,"4,400,000",45.00%
E&L,Publishing,Monochrome watches,monochromewatches.com,watch publications,USA,"1,000,000",27%
Gaming,Events,TimePlay,https://www.timeplay.com/,Gaming at events,USA,n.a.,n.a.
E&L,Database,Legacy.com,https://www.legacy.com/,Obituary DB,USA,"48,500,000",94.00%
Tools,Forums,Jotform,https://www.jotform.com/,Form B2B software,USA,"36,500,000",51.00%
E&L,Publishing,Apartment Therapy Media,https://www.apartmenttherapymedia.com/,Publishing about DIY & cooking,USA,"33,000,000",78.00%
Finance,Database,Seeking Alpha,https://seekingalpha.com/,Financial community,Israel,"20,700,000",70.00%
Music,Audio Streaming,Bandsintown,https://www.bandsintown.com/,Concerts near me,USA,"19,900,000",60.00%
Education,Database,Urban Dictionary,https://www.urbandictionary.com/,Dictionary,USA,"19,800,000",49.00%
Gaming,Online Games,GeoGuessr,https://www.geoguessr.com/,Online geography game that has gained significant global popularity over the years. Subscription based. Grown to have its own tournaments. Dubbed educational,Sweden,"11,700,000",30.00%
E&L,Marketplace,Babylist,https://www.babylist.com/index,Pregnant or recent mothers,USA,"11,500,000",94.00%
Finance,Publishing,Financebuzz,financebuzz.com,,USA,"9,400,000",93.00%
Sports,Sports Database,StatMuse,https://www.statmuse.com/,AI media company for sports and finance. Provide stats fro major league sports,USA,"4,400,000",71.00%
E&L,Publishing,Art of Manliness,artofmanliness.com,General blog with how-to content for men,USA,"3,600,000",61.00%
Education,Educational Gaming,SplashLearn,https://www.splashlearn.com/,EdTech startup company providing game-based math and reading courses to students in pre-kindergarten to grade five,USA,"2,500,000",64.00%
Sports,Publishing,Tennis.com,Tennis.com,online tennis publications,USA,"2,300,000",62.00%
Education,Educational Gaming,Legends of Learning,https://www.legendsoflearning.com/,Browser games and Educational interactive universe,USA,"861,000",96.68%
Gaming,Game Streaming,Antstream Arcade,https://www.antstream.com/,Retro game streaming,UK,"213,000",20.65%
Gaming,Database,Backloggd,backloggd.com,game collectible Database,USA,"2,000,000",25.00%
Screen,Database,Serializd,WWW.Serializd.com,online tv tracker (the bookreads of tv),USA,"900,000",
Gaming,Database,Infinite Backlog,infinitebacklog.com,game collectible Database,USA,"150,000",
Auto,Database,jato dynamics,www.jato.com,online market research/Database,UK,Not applicable,n.a
Sports,Publishing,90min,www.90min.com,sports publications,USA,"10,900,000",7.00%
Auto,Forums,bimmerpost,www.bimmerpost.com,online forum/news cite,USA,"5,500,000",57
Screen,Online Retailer,Big Bad Toy Store,https://www.bigbadtoystore.com/,Figurine retailer,USA,"6,900,000",66%
Tools,Tools,TinyURL,https://tinyurl.com/,URL Shortener,USA,"56,000,000",25.00%
Education,EdTech,Padlet,https://padlet.com/,SaaS for collaborative work boards,USA,"19,000,000",25.00%
Gaming,Game Streaming,CareGame,https://www.caregame.com/,Mobile cloud gaming,France,"670,000",16.00%
Education,EdTech,Quizizz,https://quizizz.com/,Quiz EdTech,USA,,
Education,Online Retailer,ThriftBooks,https://www.thriftbooks.com/,Largest online retailer of used books,USA,"15,000,000",87.00%
Sports,Database,Sofascore,https://www.sofascore.com/,Live sports scores,Croatia,"55,000,000",8.00%
Gaming,Wiki,Weird Gloop,https://weirdgloop.org/,"Runescape, minecraft wikis; reached out via contact form",USA,"32,000,000",48.00%
Screen,Publishing,MyDramaList,https://mydramalist.com/,K-Drama articles + community content,n.a.,"31,000,000",30.00%
E&L,Tools,16Personalities,https://www.16personalities.com/,Personality test,UK,"23,000,000",24.00%
E&L,Tools,Komoot,komoot.com,app to track running/hiking,Germany,"22,500,000",1.00%
Screen,Image Licensing,Vecteezy,https://www.vecteezy.com/,"Vectors, Stock Photos, Stock Videos",USA,"21,400,000",13.00%
Sports,Publishing,MLBTradeRumors,MLBTradeRumors.com,publications page,USA,"14,000,000",89.00%
Gaming,Wiki,Wikidot,https://www.wikidot.com/,Wiki hosting for comanies and communities,Poland,"13,200,000",47.81%
Travel,Publishing,The Points Guy,https://thepointsguy.com/,Travel Publishing,USA,"10,600,000",86.00%
Sports,Publishing,Heavy.com,heavy.com,publications page,USA,"8,100,000",85.60%
Sports,Publishing,LetsRun.com,https://www.letsrun.com/,News and forum site for elite distance running,USA,"6,200,000",77.00%
Sports,Fantasy Sports,FootballGuys,https://www.footballguys.com/,NFL Fantasy,USA,"2,800,000",90.00%
Gaming,Sports Database,METAsrc,https://www.metasrc.com/,Database,USA,"2,300,000",12.00%
Gaming,Gaming Tools,BoardGameArena,https://en.boardgamearena.com/,Browser gaming,France,"1,500,000",53.00%
Finance,Publishing,etf.com,etf.com,etf search tool,USA,"1,000,000",59.00%
Tools,Digital Commerce,Sellfy,sellfy.com,online e-commerce company similar to shopify,Latvia,"354,000",18.00%
Screen,3D Printing,CGTrader,https://www.cgtrader.com/,3D Printing Marketplace,Lithuania,"4,400,000",15.00%
Finance,Platform,Gurufocus,www.gurufocus.com,online finance platform,USA,"1,900,000",40.00%
Gaming,Online Retailer,FullGripGames,https://www.fullgripgames.com/,Online retailer,USA,"33,000",83.00%
Gaming,Fantasy Sports,Warcraft Logs (Archon),https://www.warcraftlogs.com/ | https://classic.warcraftlogs.com/ | https://sod.warcraftlogs.com/ | https://vanilla.warcraftlogs.com/ | https://www.fflogs.com/ | https://www.esologs.com/ | https://www.swtorlogs.com/,"Databasefor RPG games such as WOW, FF, ES, and Starwars. Under the umbrella of Archon.gg formerly known as RPG Logs",USA,"22,000,000",20.00%
Education,Publishing,Interesting Engineering,https://interestingengineering.com/,Publication about engineering and news,Turkey,"6,200,000",52.00%
Gaming,Gaming Database,Master Duel Meta | Duel Links Meta,https://www.duellinksmeta.com/,Databasefor card game Yu-Gi-Oh,USA,"7,000,000",13.00%
Gaming,Publishing,HellHades,https://hellhades.com/,Raid Shadow Legends,USA,"5,700,000",41.00%
Gaming,Online Games,Arkadium,https://www.arkadium.com/,Online gaming,USA,"5,300,000",67.00%
Sports,Fantasy Sports,Draft Sharks,https://www.draftsharks.com/,Football fantasy advise and strategies,USA,"5,000,000",92.00%
Sports,Betting Tools,PrizePicks,https://www.prizepicks.com/,Sports betting platform,USA,"3,800,000",97.00%
Gaming,Gaming Database,Rolimon's,https://www.rolimons.com/,"Online platform that focuses on tracking and analyzing the Roblox in-game economy, specifically for limited items and collectibles",Global - N/A,"3,100,000",44.00%
Education,Marketplace,Perlego,https://www.perlego.com/,"Textbook ""Spotify""",UK,"2,600,000",22.00%
E&L,Deals,ModeSens,www.modesens.com ,Online platfo,USA,"1,900,000",40.00%
Education,Publishing,FlyWheel Publishing,https://www.flywheelpublishing.com/,A-Z Animals property,USA,"1,400,000",54.00%
Gaming,Gaming Database,Exophase,https://www.exophase.com/,Trophy tracking,USA,"1,100,000",15.00%
Gaming,Gaming Database,Aetherhub,aetherhub.com,community platform primarily focused on Magic: The Gathering (MTG),Norway,"800,000",30.00%
Screen,Physical Tabletop,Loot Studios,https://lootstudios.com/,3D Printing Subscription Service,Brazil,"300,000",35.00%
Screen,Tools,Postermywall.com,www.postermywall.com,online collage tool,USA,"8,700,000",23.00%
Gaming,Gaming Database,U.gg,https://u.gg/,Game Stats and overlay for MMORPGs,CAN,"33,200,000",27.11%
Gaming,Gaming Database,Icy Veins,https://www.icy-veins.com/,Game Stats and Guides for MMORPGs,CAN,"14,600,000",34%
E&L,Platform,Alignable,alignable.com,car rental pricing comparison company,USA,"3,000,000",90.00%
Auto,Marketplace,rentcars,rentcars.com,car rental pricing comparison company,Brazil,"1,700,000",4.00%
Sports,Fantasy Sports,Roto Baller,https://www.rotoballer.com/,Short format news updates & syndication,USA,"6,500,000",89.48%
Screen,Database,flixpatrol,flixpatrol.com,,czeck,"1,100,000",33.00%
AdTech,DSP,choozle,choozle.com,DSP Platform,USA,"20,000",46.00%
AdTech,DSP,RevContent,RevContent.com,DSP Platform,USA,"7,800,000",56.00%
AdTech,DSP,Acquisio,Acquisio.com,DSP Platform,USA,"2,300",30.00%
AdTech,DSP,AdSpirit,adspirit.com,DSP Platform,USA,"1,100",0.00%
Gaming,Publishing,Polygon,https://www.polygon.com/,Publishing,USA,"16,500,000",52.01%
Gaming,Gaming Database,Prydwen.gg,Prydwen.gg,Mobile games Database,N/A,"11,000,000",25.00%
Gaming,Mods,ModRinth,https://modrinth.com/,open-source modding platform for Minecraft,USA,"10,000,000",18.00%
Music,Marketplace,BeatStars,https://www.beatstars.com/,Music marketplace for music producers and artists,USA,"5,000,000",30.00%
Gaming,Wiki,StrategyWiki,https://strategywiki.org/,Wiki Network,USA,"2,500,000",38.84%
Finance,Platform,Koyfin,https://www.koyfin.com/,Financial data provider,USA,"900,000",53.00%
AdTech,DSP,bidease,bidease.com,DSP platform,Austria,"50,000,000",17.00%
Music,Database,AZLyrics,azlyrics.com,Lyrics site,USA,"9,500,000",35.36%
Music,Marketplace,RA,https://ra.co/,"online platform focused on electronic music, club culture, and events",UK,"7,400,000",22.00%
Gaming,Marketplace,Traderie,https://traderie.com/,Trade place/finder for in game items they cover. No real money involved. Ad rev + subscriptions,USA,"5,400,000",22.00%
Technology,Publishing,Daily Dot,https://www.dailydot.com/,"Covers internet culture, digital media, and technology news. Focuses on stories that explore the viral side of the web, social media trends, internet celebrities, tech developments, and politics related to the digital space",USA,"33,000,000",76.00%
Gaming,Gaming Database,Fortnite.GG,https://fortnite.gg/,"providing various tools, features, and resources related to Fortnite game",USA,"11,700,000",31.00%
Gaming,Online Games,TheJigsawPuzzles,https://thejigsawpuzzles.com/,Online Jigsaw puzzles,New Zealand,"8,600,000",57.06%
Gaming,Mods,Video Game Mods,https://videogamemods.com/,Modding network,USA,"750,000",27.44%
Gaming,Mods,Lunar Client,https://traderie.com/,MC Mods but different from others (Modrinth). All in one client and mods are created by the developers. It does have store where likely most of the revenue comes from,USA,"1,100,000",20.00%
AdTech,DSP,Smadex,Smadex.com,DSP company,Spain,"44,000,000",10.00%
AdTech,DSP,Remerge.io,remerge.io,DSP company for large-scale in-app ad campaign,Germany,"1,900,000",22.00%
AdTech,DSP,StackAdapt,StackAdapt.com,DSP company located in toronto,Canada,"1,100,000",34.00%
Sports,Sports Database,SportsData.io,https://sportsdata.io/,"Data provider. Supplies in-depth statistics, player profiles, schedules, and live updates across major sports leagues, and various international soccer leagues. Its services are used by industries such as fantasy sports, sports betting, media, gaming, and technology",USA,"69,000",40%%
Auto,Marketplace,Lease Busters,https://leasebusters.com/,Lease busting marketplace,Canada,"120,000",3.00%
AdTech,DSP,Agilityads,agilityads.com,Advertising,USA,"8,800",81.00%
Sports,Analytics,Sportlogiq,https://www.sportlogiq.com/,Sports analytics platform,CAD,"30,000",59%
AdTech,DOOH,DOmedia,domedia.com,DOOH Platform,USA,"7,800",100%
E&L,Publishing,Allkpop,https://www.allkpop.com/,Database,USA,"13,600,000",46.07%
Gaming,Gaming Database,MetaTFT,https://www.metatft.com/,Database,USA,"8,000,000",17%
Tools,Online Directory,Whitepages,https://www.whitepages.com/,"Online resource to find people, contact info & background checks",USA,"18,800,000",96.20%
Gaming,Online Games,Jigsaw Planet,https://www.jigsawplanet.com/,Online Jigsaw puzzles,USA,"12,700,000",34%
Sports,Publishing,Covers,Covers.com,Sports betting publshing/editorial,Canada/UK,"9,500,000",73.00%
Auto,Database,Car-Part,Car-part.com,Juknyard DB,USA,"5,400,000",87%
Sports,Fantasy Sports,Fantrax,https://www.fantrax.com/,Fantasy Sports,Canada,"4,000,000",65.00%
Gaming,Digital Tabletop,Inkarnate,https://inkarnate.com/,Tabletop mapping software,USA,"1,500,000",39%
AdTech,DSP,Adform,adform.com,DSP Platform,Denmark,"974,000",15%
AdTech,DOOH,Adquick,adquick.com,DOOH Platform,USA,"37,000",22%
Gaming,Gaming Tools,Wordplays,Wordplays.com,Puzzle Tools,USA,"30,000",59%
AdTech,DSP,audiohook,audiohook.com,Media/postcast DSP. linkedin https://www.linkedin.com/in/jordan-bentley-5343b996/,USA,"3,000",100.00%
AdTech,DSP,adamatic,adamatic.co,audio dsp,USA,"2,000",55%
Sports,Database,RunSignup,https://info.runsignup.com/,Online registration service for running events,USA,"6,700,000",93.00%
Finance,Tools,Splitwise,https://www.splitwise.com/,Finance and spending tracker,USA,"3,300,000",50.00%
Gaming,Wiki,BG3 Wiki,https://bg3.wiki/,Baldur's Gate 3 Wiki,Germany,"7,200,000",43%
Sports,Podcasts,Blue Wire,https://www.bluewirepods.com/,Sports podcast network,USA,"4,900",100.00%
Sports,Podcasts,Bleav,bleav.com,Sports podcast network,USA,"23,000",81.00%
Gaming,Gaming Database,Video Game Insights,https://vginsights.com/,Statistcs and Databasefor video games,UK,"900,000",17.00%
Gaming,Gaming Database,Gamalytics,https://gamalytic.com/,Statistcs and Databasefor video games,n/a,"490,000",13.00%
Gaming,Gaming Database,Steambase.io,Steambase.io,Statistcs and Databasefor video games,USA,"280,000",14.00%
Gaming,Publishing,Tencent Games,https://www.tencentgames.com/,Needs no introduction!,China,"81,300",11.40%
E&L,Forums,Wine-Searcher,https://www.wine-searcher.com,"online Wine Database/forum, with over 800k members, 150m wines, 8m wine reviews",USA,"3,500,000",43.00%
E&L,Forums,CellarTracker,https://www.cellartracker.com,"online Wine Database/forum, with over 800k members, 150m wines, 8m wine reviews",USA,"900,000",55.00%
Screen,Database,TVTime/TVDB,"tvtime.com, tvdb.com",online movie/tb Database/show tracker,USA,"5,000,000",50.00%
Screen,Creation Tools,Scriptation,https://scriptation.com/,Script writing tool,USA,"30,000",34.00%
Gaming,Platform,ArtStation,https://www.artstation.com/,"Leading showcase platform for games, film, and media",USA,"16,000,000",17.00%
Travel,Database,Plane Finder,https://planefinder.net/,Online plane tracking Database/app,UK,"850,000",19.00%
Screen,Creation Tools,The Black List,https://blcklst.com/,Screenwriting sharing paltform,USA,"360,000",61.00%
AdTech,DSP,adtonos,www.adtonos.com,Programmatic audio,UK,"8,000",17.00%
Sports,Publishing,PFF.com,pff.com,NFL sports publications website/nfl stats,USA,"8,700,000",85.00%
Tools,RSS,Feedly,feedly.com,RSS Aggregator website,USA,"17,000,000",36.00%
AdTech,Tools,Version2,Theversion2.com,Platform connecting ad agents with DSPs/SSPs,USA,"2,100",100.00%
Tools,Tools,Omni Calculator,https://www.omnicalculator.com/,Online Calculators,EU,"16,000,000",44.40%
Gaming,Gaming Database,TFTTactics,https://tftactics.gg/,TFT Stats and data,USA,"5,000,000",50.00%
Sports,Betting Tools,Team Rankings,https://www.teamrankings.com/,"Sports analytics platform that provides data-driven insights, predictions, and tools for various sports.",USA,"2,700,000",82.00%
Sports,Marketplace,SidelineSwap,https://sidelineswap.com/,Sports apparrel reselling,USA,"1,000,000",72.21%
Sports,Fantasy Sports,Superbru,www.superbru.com,online fantasy website (prog revenue),UK,"758,000",6.00%
Sports,Publishing,RunRepeat,https://runrepeat.com/,Reviews and analyses of athletic footwear,Denmark,"5,400,000",40.00%
Gaming,Online Games,Colonist.io,Colonist.io,Similar to catan,USA,"4,000,000",51.00%
Finance,Publishing,The Daily Hodl,https://dailyhodl.com/,Crypto publishing,USA,"2,700,000",69.00%
Music,Audio Streaming,Audiomack,https://audiomack.com/,Online music streaming and discovery platform,USA,"4,500,000",30.00%
Gaming,Wiki,Yugipedia,https://yugipedia.com/wiki/Yugipedia,YuGioh Wiki,UK,"2,100,000",38.00%
Gaming,Wiki,YG Organization,https://ygorganization.com/,YuGioh Wiki,UK,"2,100,000",38.00%
Gaming,Online Games,Dueling Nexus,https://duelingnexus.com/welcome,Online YuGiOh game,n.a.,"1,900,000",46.00%
Gaming,Publishing,Draftsim,https://draftsim.com/,MTG Publishing,USA,"1,700,000",39.00%
Sports,Sports Database,FieldLevel,https://www.fieldlevel.com/,Social network for recruitment of athletes,Denmark,"600,000",92.00%
Finance,Platform,SimplyWall St.,https://simplywall.st/,Visualizer for stock research/tool,AUS,"4,000,000",28.84
Screen,Streaming,PopFlick,https://www.popflick.com/watch,Streaming for indie movies,USA,n.a.,n.a.
Publishing,Weather,Weatherbug,https://www.weatherbug.com/,Weather site and app,USA,"8,000,000",95.00%
Technology,Database,AlternativeTo,https://alternativeto.net/,Crowsourced software alternatives site,USA,"5,400,000",18.14%
Music,Audio Streaming,RadioGarden,https://radio.garden/,Online public access radio stations,NTH,"5,300,000",9.39%
Technology,Publishing,wccftech,https://wccftech.com/,Hardware tilt publishing with gaming tilt,CAN,"4,800,000",30.80%
Screen,Streaming,FlixFling,https://www.flixfling.com/,Rental/susbcription,USA,"95,000",27.00%
Sports,Fantasy Sports,RealTime Fantasy Sports,https://www.rtsports.com/,Fantasy Sports,USA,"2,500,000",92.59%
Gaming,Gaming Database,TFT Academy,https://tftacademy.com/,TFT Database,USA,"7,000,000",42%
Finance,Database,CoinGecko,https://www.coingecko.com/,Cryptocurrency data and trading statistics aggregator,Malaysia,"25,800,000",24%
Sports,Betting Tools,OddsJam,oddsjam.com,Sports betting statistic and assistor,USA,"2,200,000",70%
Sports,Betting Tools,Unabated Sports,https://unabated.com/,Sports betting statistic and assistor,USA,"591,500",83.55%
Screen,Streaming,GoBundled,Gobundled.com,subscription bundling service,USA,"10,000",81.00%
Travel,Publishing,Conde Nast Travel,condenasttravel.com,publication website on travel destinations,USA,"6,200,000",67.00%
Sports,Publishing,Golf Monthly,golfmonthly.com,golf publication website,USA,"2,500,000",50.00%
Auto,Forums,Teslamotorsclub,teslamotorsclub.com,car enthusiast forum,USA,"2,000,000",70.00%
Technology,Tools,Versus,https://versus.com/en,"Online comparison tool for anything, tech focused",GER,"18,000,000",11%
Gaming,Gaming Database,Raider.IO,https://raider.io/,WoW Database,USA,"12,000,000",18%
E&L,Database,Quotev,https://www.quotev.com/,Online stories and quizzes,USA,"8,500,000",56.46%
Gaming,Gaming Database,WZ Stats,https://wzstats.gg/,Stats and builds for Call of Duty,BEL,"8,400,000",30%
Finance,Publishing,GoBankingRates,https://www.gobankingrates.com/,Personal finance website,USA,"5,500,000",92%
Screen,Database,Showly,http://showlyapp.com/,Movie Catalogue/DB,Poland,n.a.,n.a.
Screen,Database,moviefone.com,moviefone.com,movie Database,USA,"6,100,000",27%
Screen,Database,All media Network,allmedianetwork.com,Movie Catalogue/DB,USA,"6,000,000",50%
Screen,Publishing,likewise,likewise inc.,publishing/application,USA,"800,000",70%
Online Education,OTE,NexLearn,https://nexlearn.com/,generational equity (broker),USA,"1,400",100%
Screen,Collectibles,Key Collector Comics,https://www.keycollectorcomics.com/,Comic cataloguing,USA,n.a.,n.a.
Technology,Marketplace,Sandhills Global,https://www.sandhills.com/,Publishing + industrial marketplaces,USA,n.a.,n.a.
Education,Database,Studocu,https://www.studocu.com/,Databaseof student-uploaded course notes,Amsterdam,"75,000,000",
Education,Tools,WordReference,https://www.wordreference.com/,Translation dictionary,USA,"39,000,000",14%
Finance,Platform,Fair Economy,https://www.faireconomy.com/,Platforms connecting traders to the markets (primarily Forex),USA,"30,000,000",18%
Publishing,Publishing,Patch,patch.com,News aggregator,USA,"24,000,000",98%
Screen,Online Reader,Toomics,https://toomics.com/en,Online reader for manga/comics,Korea,"11,000,000",25%
Technology,Marketplace,appsumo,appsumo,provides discounts on software (marketplace),USA,"2,700,000",26%
Screen,Database,getcardbase,getcardbase.com,colections Database,USA,"180,000",60%
Education,Tools,bookshelf,bookshelfapp.info,online cataloguing Databasefor books,USA,"19,200",31%
Screen,Database,Collectibles.com,collectibles.com,Collections Database,USA,"16,900",60%
Screen,Database,Shiny - TCG Card Collector,n.a. (App only),"gaming collectibles Database(pokemon,mtg,yugioh etc.)",USA,n.a.,n.a.
Sports,Sports Database,footballdb.com,footballdb.com,Fooball Database,USA,"1,100,000",85%
Screen,Database,tcgcollector.com,tcgcollector.com,"gaming collectibles Database(pokemon,mtg,yugioh etc.)",Berlin,"500,000",45%
Sports,Sports Database,Rolling Insights,https://rolling-insights.com/,Sports data and analytics,Canada,"4,000",70.00%
Gaming,Tools,Wheel of Names,https://wheelofnames.com/,Name randomizer used in schools/corporate settings,USA,"13,000,000",35%
Finance,Platform,Supermoney.com,Supermoney.com,"Comparisons/reviews of financial products,",USA,"400,000",72%
Publishing,Database,Drugs.com,Drugs.com,Database for drugs and medicine,New Zealand,"26,000,000",68%
Gaming,Publishing,Neoseeker,https://www.powerpyx.com/,"Guides, news,cheats and forums",USA/CAN,"5,200,000",36%
